,Prev Close,Moving Average 5,Moving Average 10
0,-0.7726656488878203,-0.7727191477837775,-0.7726324179526214
1,-0.7725770375754996,-0.7726887559070783,-0.7726425499225565
2,-0.7726023522069829,-0.7726634302559724,-0.7726514226234892
3,-0.7726150189731033,-0.7726381043440635,-0.7726526903106758
4,-0.7726403329528364,-0.7726330391616817,-0.772646353767203
5,-0.7726403329528364,-0.7726431700480508,-0.7726336798319134
6,-0.7726276720524683,-0.7726381051264719,-0.772615936061479
7,-0.7725770375754996,-0.7726203747061109,-0.7725943893599996
8,-0.7725264017950303,-0.7726127755633233,-0.772577912558922
9,-0.7726023522069829,-0.7726153076981092,-0.7725766449369929
10,-0.7726529886392024,-0.7726229060584884,-0.772585517246382
11,-0.7726656488878203,-0.7726406353052366,-0.7725918548992279
12,-0.7726656488878203,-0.7726836913767038,-0.772604528704003
13,-0.7727415973445221,-0.7727140832534029,-0.7726159349521059
14,-0.7727542517273877,-0.7727318119785455,-0.7726260741655949
15,-0.7727415973445221,-0.7727292789309497,-0.77262860901791
16,-0.7726529886392024,-0.7727520729688754,-0.7726488882279747
17,-0.772779574179874,-0.7727596713292544,-0.7726742374036987
18,-0.772779574179874,-0.7727520744032911,-0.772685644761175
19,-0.7727162820612885,-0.7727444756517077,-0.7726907141395191
20,-0.7727036185539194,-0.7727444756517077,-0.7726894465175898
21,-0.7726529886392024,-0.7726583646823864,-0.7726577606026213
22,-0.7723491889466427,-0.7725823826434127,-0.772623539117508
23,-0.7723998136473578,-0.7725393252679316,-0.7725981900070412
24,-0.7725010799942942,-0.7725190640167987,-0.7725842479277645
25,-0.7726023522069829,-0.772524127503962,-0.7725867818664782
26,-0.772678296101433,-0.7725849113877618,-0.7725741073438733
27,-0.7726529886392024,-0.7726330342064277,-0.7725601656561402
28,-0.7726403329528364,-0.7726558309827833,-0.7725500265731656
29,-0.7726150189731033,-0.7726457003572169,-0.7725348174592748
30,-0.7725517190335147,-0.7725646567871014,-0.7724967944787755
31,-0.7722732378829399,-0.7725089373032749,-0.7724993288742901
32,-0.7723745009711251,-0.7724582822194216,-0.7724980616439042
33,-0.7723871573092415,-0.7723949634624062,-0.7724777830864118
34,-0.7722985499074223,-0.7723291138746189,-0.7724397600406556
35,-0.7722226007989702,-0.7723392447609881,-0.7724042729565875
36,-0.7723238723599086,-0.7723291150482317,-0.7723713198112332
37,-0.7723238723599086,-0.7723189839010597,-0.7723409003435637
38,-0.7723365215287722,-0.7723367123653994,-0.7723180854328398
39,-0.7723871573092415,-0.7723671043725,-0.7723003412708618
40,-0.7723745009711251,-0.7723772340852565,-0.7723104803538363
41,-0.7723745009711251,-0.7723848310112198,-0.7723092128624214
42,-0.7723618420260078,-0.7723797670024509,-0.7723016086970195
43,-0.7723112114595406,-0.7723696358552788,-0.7723054106492059
44,-0.7723365215287722,-0.7723671030684858,-0.7723193523369393
45,-0.7723618420260078,-0.7723620386685126,-0.7723218871892545
46,-0.7723491889466427,-0.7723569725733209,-0.7723231537018107
47,-0.7723365215287722,-0.7723544392649222,-0.7723193517496242
48,-0.7722985499074223,-0.7723468419477544,-0.7723104798317783
49,-0.7722985499074223,-0.7723392450217911,-0.7723054105839487
50,-0.7723238723599086,-0.772349373952139,-0.7723079450447203
51,-0.7723998136473578,-0.7723620373644984,-0.772311746996907
52,-0.7723998136473578,-0.7723898969760102,-0.7723244211279683
53,-0.7724377930897107,-0.7724025603883695,-0.7723269563718269
54,-0.7723618420260078,-0.7724228200746854,-0.7723332932415857
55,-0.7724251308858421,-0.7724430813258181,-0.7723485015071326
56,-0.7725010799942942,-0.7724455627344514,-0.7723560804832392
57,-0.7724122158028763,-0.7724582252340009,-0.7723763591059887
58,-0.7725010806460445,-0.772488624543581,-0.7723979091355876
59,-0.7725137786961768,-0.7725165197546807,-0.7724220074604935
60,-0.772564551995949,-0.7725393799061268,-0.7724435868558515
61,-0.7726153357237251,-0.7725800199000723,-0.7724651662512092
62,-0.7726153357237251,-0.7726079616644791,-0.7724854859860214
63,-0.7726407344309908,-0.772635901603266,-0.7725146809015414
64,-0.7726534233566196,-0.7726511440949227,-0.7725362684540545
65,-0.7726407344309908,-0.7726892456948142,-0.7725667757579721
66,-0.7728057686741957,-0.7727425875695383,-0.7726138074354966
67,-0.7728819400294833,-0.7728137077219448,-0.7726633813394045
68,-0.7729961951071639,-0.7728873691372367,-0.7727142260628467
69,-0.7730215853416763,-0.7729610306829299,-0.7727587166233608
70,-0.7730088970677976,-0.7730296119196766,-0.7728121042910163
71,-0.7731485397729897,-0.7731159736509299,-0.772882016658565
72,-0.7733135785784464,-0.773164236651123,-0.7729417599900651
73,-0.7732374150441619,-0.7731362965819346,-0.7729646404843175
74,-0.7728819400294833,-0.7731007359841258,-0.7729837074758513
75,-0.7728311641227101,-0.7730245346099628,-0.7729798941036475
76,-0.772767682996552,-0.7729432533180575,-0.7729824365258028
77,-0.7729073322192465,-0.7728848324384009,-0.7729773531824088
78,-0.7729454257178933,-0.7728848324384009,-0.7729633710351853
79,-0.7728819400294833,-0.7729026116288934,-0.7729544726228992
80,-0.7729200250553768,-0.7729203918625971,-0.7729252367258311
81,-0.7728565491432206,-0.772907690373023,-0.7728782045915058
82,-0.7728438497895878,-0.7728899080528965,-0.7728400699558654
83,-0.7728565491432206,-0.7728873684852295,-0.772838799071074
84,-0.7728692471933529,-0.7729000693227966,-0.7728540522988607
85,-0.7729835042262843,-0.7729483304973699,-0.7728871016333898
86,-0.7730977599557151,-0.7730092925095102,-0.772911252816662
87,-0.7731485397729897,-0.7730626342538328,-0.772929047944546
88,-0.7731231527972285,-0.7730905752358311,-0.7729417596637789
89,-0.7730088970677976,-0.7730905752358311,-0.7729481155886525
90,-0.7729835042262843,-0.7730727956541344,-0.772963369599526
91,-0.7730088970677976,-0.7730245351315684,-0.7729697258506859
92,-0.7729073322192465,-0.7729559528516103,-0.7729620989757635
93,-0.7727803764844325,-0.7728899107913263,-0.7729430319189723
94,-0.7726788168498833,-0.7728187895957084,-0.772907440488574
95,-0.7726280383361092,-0.7727603681944463,-0.7728693069623066
96,-0.7727169051345281,-0.7727375079125989,-0.7728337157276801
97,-0.7727930758380653,-0.7727324282556595,-0.7727968528251751
98,-0.7727549882051709,-0.7727476685304919,-0.7727714299087675
99,-0.7727549882051709,-0.7727603688464534,-0.7727421941422138
100,-0.7726915149000156,-0.7727273487291213,-0.7726964337410243
101,-0.7725518695878226,-0.7726841670810861,-0.7726633841454659
102,-0.7725772526530823,-0.7726409871282695,-0.7726392334189945
103,-0.772539173492941,-0.7725952666949759,-0.7726239801259507
104,-0.7725264760945589,-0.7725673266257875,-0.7726163536425719
105,-0.7725518695878226,-0.7725622459256368,-0.772597286716295
106,-0.7725264760945589,-0.7725292255475018,-0.7725591526679697
107,-0.7724122158028763,-0.7725089030077013,-0.7725273738919457
108,-0.7724376008233867,-0.772480962025703,-0.7724905112504697
109,-0.7723868262201141,-0.7723920586403601,-0.7724320388690183
110,-0.7721075277747251,-0.772308235955168,-0.7723875486347903
111,-0.7721075277747251,-0.772282836236055,-0.7723583132597803
112,-0.7722852672373152,-0.7722472760294504,-0.7723303476601884
113,-0.77225986983355,-0.7722244156172016,-0.7723049249395524
114,-0.7722725691871828,-0.772252357903214,-0.7722744179619212
115,-0.7722471841666724,-0.7722904592423027,-0.7722515374676687
116,-0.7722979594216952,-0.7722980789885147,-0.7722426397732123
117,-0.7723233509597082,-0.7723234802724447,-0.7722375559077604
118,-0.7723868262201141,-0.7723463406846935,-0.7722375559077604
119,-0.7723868262201141,-0.7723640893612534,-0.7722604211970755
120,-0.7723358925897804,-0.7723614907217431,-0.7722781879380589
121,-0.7722849713427014,-0.7723359802918239,-0.772269234840204
122,-0.7721958490581843,-0.77227484262897,-0.7722513511582423
123,-0.7720812583291247,-0.7722213476629781,-0.7722360206006237
124,-0.7721194567595617,-0.7721882327438132,-0.7722283308177199
125,-0.7721703832206428,-0.7721754972194682,-0.7722206570880977
126,-0.7722213188062272,-0.7721831393947246,-0.7722117152144883
127,-0.7722340448816204,-0.7722213510534152,-0.7722002422734838
128,-0.7722722413568067,-0.7722493714498786,-0.7721874939449381
129,-0.7722595035499091,-0.7722697511055012,-0.7721811207921526
130,-0.7722722413568067,-0.7723054134164183,-0.7721925941247006
131,-0.7723995601165102,-0.7723538129468989,-0.7722206392728707
132,-0.7724759472011308,-0.7724174956542794,-0.772271630629336
133,-0.7725905294574371,-0.7724760844909656,-0.7723149727929022
134,-0.7725523323305005,-0.772539767198346,-0.7723570404172716
135,-0.7725905294574371,-0.7725601445067433,-0.7723850845213257
136,-0.7725014065211697,-0.7725372179809741,-0.7723978320667846
137,-0.7723613597308224,-0.7724760822741413,-0.7723991066712387
138,-0.7722849713427014,-0.7724353250493186,-0.7724080302075631
139,-0.7723486264861765,-0.772414946045703,-0.7724297008325456
140,-0.7724886745800243,-0.7724225874385509,-0.7724437223298861
141,-0.7725395984341044,-0.7724506078350144,-0.7724462714735373
142,-0.7725014065211697,-0.7725117435418469,-0.7724462714735373
143,-0.7725905294574371,-0.7725728801614896,-0.7724564700058594
